feature,mean_target_0,mean_target_1,median_target_0,median_target_1,mean_diff_1_minus_0,cohen_d_1_vs_0,rank_biserial,mannwhitney_pvalue,ks_pvalue
motif_distance,1.7761,1.7283,1.9465,1.8764,-0.0478,-0.0798,0.0801,0.1953,0.0769
discord_distance,4.5504,4.5213,4.5517,4.5549,-0.0291,-0.1892,0.0215,0.7281,0.5733
mp_mean,3.2446,3.2083,3.3358,3.3134,-0.0363,-0.0944,0.0485,0.4332,0.6181
mp_std,0.6294,0.6461,0.5802,0.585,0.0167,0.0842,-0.0184,0.7669,0.946
motif_range,2.6291,2.7162,2.8142,2.9328,0.0871,0.0566,-0.0473,0.4443,0.6132
discord_range,1.5924,1.5334,1.4779,1.5457,-0.059,-0.064,0.0104,0.8664,0.4758
